Bird_lib,Bird_order,Bird_species,Location,General_Location,Sample_Type,Sacvening_status,Migration,Adenoviridae,Anelloviridae,Astroviridae,Caliciviridae,Coronaviridae,Flaviviridae,Hepadnaviridae,Orthoherpesviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Sedoreoviridae,Spinareoviridae,Tobaniviridae
179,Charadriiformes,Red knot,Firth of Thames,Mainland,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Charadriiformes,Red knot,Firth of Thames,Mainland,cloacal,No,Migratory,0,0,0,75.59656248,0,0,0,0,0,0,0,13.73702441,0,0,0,0,0
181,Charadriiformes,Red knot,Firth of Thames,Mainland,cloacal,No,Migratory,0.535513646,0,67.20696261,0,0,0,0,3.845961642,55.45000392,0,0,337.7143786,0,0,2.020346938,0,0
182,Charadriiformes,South Island pied oystercatcher,Firth of Thames,Mainland,oral,No,Local migration ,0,0,0.961341687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Charadriiformes,South Island pied oystercatcher,Firth of Thames,Mainland,cloacal,No,Local migration ,111.3331714,0,1210.617449,622.7845372,0,0,0,0,0,0,0,8691.645562,0,0,0,0,0
184,Charadriiformes,Wrybill,Firth of Thames,Mainland,oral,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Charadriiformes,Wrybill,Firth of Thames,Mainland,oral,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Charadriiformes,Wrybill,Firth of Thames,Mainland,oral,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Charadriiformes,Wrybill,Firth of Thames,Mainland,oral,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Charadriiformes,Wrybill,Firth of Thames,Mainland,cloacal,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Charadriiformes,Wrybill,Firth of Thames,Mainland,cloacal,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,Charadriiformes,Wrybill,Firth of Thames,Mainland,cloacal,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Charadriiformes,Wrybill,Firth of Thames,Mainland,cloacal,No,Local migration ,0,0,0,0,0,0,0,46443.07934,0,0,0,0,0,0,0,0,0
192,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,oral,Yes,Sedentary,0,0,0,0,0,0,0,0,0,111.6985944,0,0,0,0,0,0,0
193,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,oral,Yes,Sedentary,172.0818012,0,0.097423175,0.324743916,0,0,0,0,0,32.47439163,0,0.259795133,0,0,0,0,0
194,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,oral,Yes,Sedentary,9.886138883,0.440783262,0,0,0,0,0,0,0,58.05745255,0,0,0,0,0,0,0
195,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,oral,Yes,Sedentary,264.9587526,0,0.535914645,0,0,0,0,0,0,0.40831592,0,0,0,0,0,0,0
196,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,cloacal,Yes,Sedentary,0,0,43.01375304,0,0,0,0,0,0,0,0,0,0,0,2.627407161,0,0
197,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,cloacal,Yes,Sedentary,344.5608487,0,58.40613437,49.44861263,178.2226521,0,0,145.5735346,0,0,0,0.894647671,0,0,9.807989281,0,0
198,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,cloacal,Yes,Sedentary,0,0,0,6.698527255,36.33551256,0,0,0,0,0,0,64.63989961,0,0,20.57531714,0,0
199,Charadriiformes,Southern black-backed gull,Waimakariri River,Mainland,cloacal,Yes,Sedentary,0.92908063,0,159.4921749,6.245486459,0.87746504,0,0,2.07752752,0,0,0,84.15922042,0,0,16.68473965,0,0
202,Charadriiformes,Southern New Zealand dotterel,Rakiura,Rakiura Region,oral,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Charadriiformes,Southern New Zealand dotterel,Rakiura,Rakiura Region,oral,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Charadriiformes,Southern New Zealand dotterel,Rakiura,Rakiura Region,oral,No,Local migration ,0,0,17.38550688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,Charadriiformes,Southern New Zealand dotterel,Rakiura,Rakiura Region,cloacal,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Charadriiformes,Southern New Zealand dotterel,Rakiura,Rakiura Region,cloacal,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,1649.567283,0,0,0,0,0
207,Charadriiformes,Southern New Zealand dotterel,Rakiura,Rakiura Region,cloacal,No,Local migration ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
