Bird_lib,Adenoviridae,Anelloviridae,Astroviridae,Caliciviridae,Coronaviridae,Flaviviridae,Hepadnaviridae,Orthoherpesviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Sedoreoviridae,Spinareoviridae,Tobaniviridae
79,0,0,0,0,0,0,0,0,0,0.004541279,0.002578083,0.992880638,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,0,0,0,0,0,0,0,0,0,0.015267176,0.023991276,0.685932388,0,0,0.27480916,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
83,0,0,0,0.741312741,0,0,0,0,0,0,0.046332046,0,0,0,0.212355212,0,0
84,0,0,0,0,0,0,0,0.006764374,0,0,0.885005637,0,0,0,0.108229989,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0.905511811,0,0.047244094,0,0,0.047244094,0,0
89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0.99188092,0,0,0.00811908,0,0,0,0,0,0
94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0.010638298,0,0,0,0,0,0,0,0,0.989361702,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
99,0,0,0,0.995022399,0,0,0,0,0,0,0,0.004977601,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,0,0,0.657427938,0,0,0,0,0,0,0,0,0.342572062,0,0,0,0,0
102,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0.357142857,0,0,0.642857143,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0.95862069,0,0,0.04137931,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0.960720131,0,0,0,0.039279869,0,0,0,0,0
126,0.811327649,0,0,0,0,0,0,0.186967113,0,0,0,0.001705238,0,0,0,0,0
127,0.60952381,0,0,0,0,0,0,0.39047619,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0.000879379,0.999120621,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,0.000126929,0,0,0,0,0,0,0.999809606,0,6.35E-05,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.184122429,0,0,0,0,0,0,0,0,0.815877571,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0.998011928,0,0.001988072,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0.235559567,0,0.764440433,0,0,0,0,0
139,0,0,0,0.050955414,0.949044586,0,0,0,0,0,0,0,0,0,0,0,0
